block_name,sub_subject_name,question,case_study,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation_a,explanation_b,explanation_c,explanation_d,explanation_e,difficulty,image_url,references,is_fcps_pearl,fcps_pearl_content
Physiology,,"A 30-year-old woman has a haemoglobin of 8 g/dL with an MCV of 70 fL and low serum ferritin. Which red-cell index pattern best fits her anaemia?","30-year-old woman; Hb 8 g/dL, MCV 70 fL, low serum ferritin.","Microcytic, hypochromic","Macrocytic, normochromic","Normocytic, normochromic","Macrocytic, hypochromic","Microcytic, hyperchromic",a,"CORRECT: Low ferritin indicates iron deficiency; reduced haemoglobin synthesis yields small cells (low MCV) that are pale (low MCHC) - microcytic, hypochromic anaemia.","Macrocytic, normochromic - fits B12/folate deficiency where MCV is high not low.","Normocytic, normochromic - fits acute blood loss or anaemia of chronic disease with a normal MCV.","Macrocytic, hypochromic - not a recognised pattern; macrocytes are not hypochromic.","Microcytic, hyperchromic - hyperchromia does not occur; small cells hold less not more Hb.",Easy,,,false,
Physiology,,"The principal site of erythropoietin production in the adult is:","Adult requiring understanding of EPO source.","The liver","The peritubular interstitial cells of the kidney","The bone marrow","The spleen","The adrenal cortex",b,"The liver - the main source only in the foetus; a minor source in adults.","CORRECT: Peritubular fibroblast-like interstitial cells of the renal cortex sense tissue hypoxia (via HIF) and secrete approximately 90% of circulating erythropoietin, stimulating red-cell production.","The bone marrow - the site where EPO ACTS not where it is made.","The spleen - a site of red-cell destruction, not EPO synthesis.","The adrenal cortex - produces steroids, not erythropoietin.",Easy,,,false,
Physiology,,"In adult haemoglobin A, the globin chain composition is:","Understanding normal haemoglobin structure.","Two alpha and two beta chains","Two alpha and two gamma chains","Two alpha and two delta chains","Four alpha chains","Four beta chains",a,"CORRECT: HbA, the dominant adult haemoglobin (approximately 97%), is alpha-beta - two alpha and two beta globin chains, each binding one haem.","Two alpha and two gamma - this is foetal haemoglobin (HbF), alpha-gamma.","Two alpha and two delta - this is HbA2 (alpha-delta), a minor adult fraction (approximately 2.5%).","Four alpha chains - not a normal physiological haemoglobin.","Four beta chains - HbH, an abnormal form seen in alpha-thalassaemia.",Easy,,,false,
Physiology,,"The average lifespan of a normal circulating red blood cell is approximately:","Understanding RBC survival and destruction.","7 days","45 days","120 days","200 days","365 days",c,"7 days - closer to the lifespan of a platelet, not a red cell.","45 days - too short for normal red cells.","CORRECT: Anucleate red cells survive approximately 120 days; senescent cells are then removed mainly by splenic macrophages (the reticuloendothelial system).","200 days - exceeds the normal red-cell lifespan.","365 days - far longer than red cells survive.",Easy,,,false,
Physiology,,"A vegan develops a haemoglobin of 9 g/dL with an MCV of 110 fL and hypersegmented neutrophils on the film. The most likely deficiency is:","Vegan patient; Hb 9 g/dL, MCV 110 fL, hypersegmented neutrophils on film.","Iron","Vitamin B12 (or folate)","Vitamin C","Pyridoxine","Erythropoietin",b,"Iron - causes microcytic (low MCV), not macrocytic, anaemia.","CORRECT: A high MCV with hypersegmented neutrophils indicates megaloblastic anaemia from impaired DNA synthesis, typically B12 or folate deficiency; strict vegans are prone to B12 deficiency.","Vitamin C - deficiency causes scurvy/bleeding, not megaloblastic change.","Pyridoxine (B6) - deficiency causes a sideroblastic (microcytic) picture.","Erythropoietin - deficiency causes normocytic anaemia, without hypersegmentation.",Medium,,,false,
Physiology,,"The most numerous leucocyte in normal adult peripheral blood is the:","Understanding normal WBC differential.","Lymphocyte","Neutrophil","Monocyte","Eosinophil","Basophil",b,"Lymphocyte - the second most common (approximately 20-40%), and most numerous in young children.","CORRECT: Neutrophils make up approximately 40-75% of circulating leucocytes, the largest fraction, and are the first responders in acute bacterial infection.","Monocyte - only approximately 2-8% of leucocytes.","Eosinophil - approximately 1-6%, raised in allergy and parasitic infection.","Basophil - the rarest leucocyte (less than 1%).",Easy,,,false,
Physiology,,"A child with a parasitic worm infestation has a markedly raised count of which leucocyte, whose granules contain major basic protein?","Child with parasitic worm (helminth) infestation.","Neutrophil","Basophil","Eosinophil","Lymphocyte","Monocyte",c,"Neutrophil - rises mainly in acute bacterial infection, not worms.","Basophil - releases histamine/heparin; not the cell of major basic protein.","CORRECT: Eosinophils rise in helminth (parasitic worm) infections and allergy; their granules contain major basic protein, which is toxic to parasites.","Lymphocyte - rises in viral infection, not characteristically with worms.","Monocyte - rises in chronic infection (e.g., TB), not as the parasite-specific responder.",Easy,,,false,
Physiology,,"The normal platelet count (per microlitre of blood) is in the range of:","Understanding normal platelet count.","4,000-11,000","150,000-400,000","1-2 million","20,000-50,000","600,000-800,000",b,"4,000-11,000 - this is the normal total white-cell count.","CORRECT: Platelets normally number 150,000-400,000/microL; they are produced by megakaryocytes and survive approximately 8-10 days.","1-2 million - approximates red cells per microlitre (millions), not platelets.","20,000-50,000 - a thrombocytopenic range where spontaneous bleeding risk rises.","600,000-800,000 - thrombocytosis, above the normal range.",Easy,,,false,
Physiology,,"During primary haemostasis, platelets adhere to exposed subendothelial collagen mainly through which plasma protein bridge?","Understanding primary haemostasis mechanisms.","Fibrinogen","von Willebrand factor","Albumin","Antithrombin III","Plasminogen",b,"Fibrinogen - bridges platelets to EACH OTHER (aggregation) via GpIIb/IIIa, not adhesion to collagen.","CORRECT: von Willebrand factor binds exposed collagen and the platelet GpIb receptor, anchoring platelets to the damaged vessel wall - the key adhesion step of primary haemostasis.","Albumin - a transport/oncotic protein with no haemostatic adhesion role.","Antithrombin III - an anticoagulant that inhibits thrombin, not an adhesion molecule.","Plasminogen - the precursor of plasmin (clot breakdown), not adhesion.",Medium,,,false,
Physiology,,"Platelet-to-platelet aggregation is mediated by fibrinogen binding to which platelet surface receptor?","Understanding platelet aggregation.","GpIb","GpIIb/IIIa","P-selectin","The thrombin receptor (PAR-1)","The ADP receptor (P2Y12)",b,"GpIb - mediates ADHESION (binds vWF), not fibrinogen-dependent aggregation.","CORRECT: Activation exposes GpIIb/IIIa, which binds fibrinogen and cross-links adjacent platelets - the final common pathway of aggregation.","P-selectin - an activation marker mediating leucocyte interaction, not fibrinogen cross-linking.","PAR-1 - the thrombin receptor that triggers activation but does not itself bind fibrinogen.","P2Y12 - the ADP receptor (clopidogrel target) that amplifies activation, not the fibrinogen bridge.",Medium,,,false,
Physiology,,"The prothrombin time (PT) primarily assesses the function of which coagulation pathway?","Understanding coagulation tests.","Intrinsic pathway","Extrinsic pathway","Common pathway only","Fibrinolytic pathway","Platelet pathway",b,"Intrinsic pathway - assessed by the aPTT, not the PT.","CORRECT: PT measures the extrinsic pathway (tissue factor + factor VII) plus the common pathway; it is prolonged by factor VII deficiency, warfarin, and liver disease.","Common pathway only - PT also depends on the extrinsic factor VII, not the common pathway alone.","Fibrinolytic pathway - measured by D-dimer/fibrin degradation products, not PT.","Platelet pathway - assessed by platelet count and bleeding/closure time, not PT.",Medium,,,false,
Physiology,,"A boy with haemophilia A has a prolonged aPTT but a normal PT and platelet count. The deficient factor is:","Boy with haemophilia A; prolonged aPTT, normal PT and platelet count.","Factor VIII","Factor IX","Factor VII","von Willebrand factor","Factor XIII",a,"CORRECT: Haemophilia A is an X-linked deficiency of factor VIII, an intrinsic-pathway factor, so the aPTT is prolonged while the PT (extrinsic) and platelets remain normal.","Factor IX - deficiency causes haemophilia B (Christmas disease); clinically similar but a different factor.","Factor VII - an extrinsic factor; its deficiency prolongs the PT, not the aPTT.","von Willebrand factor - deficiency prolongs bleeding/closure time and may lower factor VIII, but the classic isolated aPTT defect here is factor VIII.","Factor XIII - stabilises fibrin; its deficiency gives a normal PT and aPTT with delayed bleeding.",Medium,,,false,
Physiology,,"Which clotting factor is common to both the intrinsic and extrinsic pathways at the point where they converge?","Understanding coagulation cascade.","Factor XII","Factor VII","Factor X","Factor VIII","Factor IX",c,"Factor XII - initiates the intrinsic pathway only.","Factor VII - belongs to the extrinsic pathway only.","CORRECT: Both pathways activate factor X to Xa, which begins the common pathway (Xa + Va convert prothrombin to thrombin) - the convergence point.","Factor VIII - an intrinsic-pathway cofactor, not the convergence factor.","Factor IX - an intrinsic-pathway factor upstream of factor X.",Medium,,,false,
Physiology,,"A patient on long-term warfarin has impaired activity of which group of clotting factors?","Patient on long-term warfarin therapy.","Factors I, V, VIII, XIII","Factors II, VII, IX, X","Factors XI, XII, prekallikrein","Factors V and VIII only","von Willebrand factor and factor VIII",b,"Factors I, V, VIII, XIII - these are not vitamin-K-dependent.","CORRECT: Warfarin inhibits vitamin-K-dependent gamma-carboxylation, reducing functional factors II, VII, IX and X (and proteins C and S).","Factors XI, XII, prekallikrein - contact factors, not vitamin-K-dependent.","Factors V and VIII only - cofactors not affected by warfarin.","vWF and factor VIII - not vitamin-K-dependent.",Medium,,,false,
Physiology,,"The enzyme that ultimately converts fibrinogen into fibrin is:","Understanding fibrin formation.","Plasmin","Thrombin","Factor XII","Tissue plasminogen activator","Kallikrein",b,"Plasmin - DEGRADES fibrin (fibrinolysis), the opposite action.","CORRECT: Thrombin (factor IIa) cleaves fibrinogen to fibrin monomers and activates factor XIII to cross-link them into a stable clot.","Factor XII - initiates the intrinsic cascade upstream, far from fibrin formation.","Tissue plasminogen activator - converts plasminogen to plasmin, promoting clot breakdown.","Kallikrein - a contact-activation enzyme, not the fibrinogen-to-fibrin converter.",Easy,,,false,
Physiology,,"The main enzyme responsible for dissolving (lysing) a formed fibrin clot is:","Understanding fibrinolysis.","Thrombin","Plasmin","Antithrombin III","Protein C","Factor XIII",b,"Thrombin - FORMS the clot; it does not lyse it.","CORRECT: Plasmin, generated from plasminogen by tPA, digests fibrin into fibrin degradation products (including D-dimer), clearing the clot during fibrinolysis.","Antithrombin III - inhibits thrombin/factor Xa (anticoagulant) but does not dissolve fibrin.","Protein C - inactivates factors Va and VIIIa; an anticoagulant, not a fibrinolytic.","Factor XIII - cross-links and STABILISES fibrin, opposing lysis.",Easy,,,false,
Physiology,,"An individual with blood group AB has which combination of red-cell antigens and plasma antibodies?","Understanding ABO blood groups.","A and B antigens; no anti-A or anti-B antibodies","No antigens; both anti-A and anti-B antibodies","A antigen; anti-B antibody","B antigen; anti-A antibody","A and B antigens; both anti-A and anti-B antibodies",a,"CORRECT: Group AB cells carry both A and B antigens, and the plasma lacks anti-A and anti-B, making AB the universal recipient for red cells.","No antigens with both antibodies - this describes group O.","A antigen with anti-B - this describes group A.","B antigen with anti-A - this describes group B.","Both antigens with both antibodies - impossible; one cannot have antibodies against one's own antigens.",Easy,,,false,
Physiology,,"An Rh-negative mother carrying her second Rh-positive baby is at risk of haemolytic disease of the newborn because the antibody that crosses the placenta is:","Rh-negative mother carrying her second Rh-positive baby; risk of HDN.","IgM anti-D","IgG anti-D","IgA anti-D","IgE anti-D","Anti-A IgM",b,"IgM anti-D - IgM is too large to cross the placenta.","CORRECT: After sensitisation, the mother makes IgG anti-D; being IgG, it crosses the placenta and haemolyses the Rh-positive fetal red cells, causing haemolytic disease of the newborn.","IgA anti-D - IgA does not cross the placenta to cause fetal haemolysis.","IgE anti-D - mediates allergy, not transplacental haemolysis.","Anti-A IgM - ABO antibodies are mainly IgM and do not typically cross the placenta to cause severe disease.",Medium,,,false,
