block_name,question,case_study,option_a,option_b,option_c,option_d,correct_answer,explanation_a,explanation_b,explanation_c,explanation_d,difficulty,image_url
Anatomy Fundamentals,What is the normal blood pressure in adults?,"A 35-year-old healthy male comes for routine check-up. His vitals are being recorded.",Less than 90/60 mmHg,Less than 120/80 mmHg,120-140/80-90 mmHg,Greater than 140/90 mmHg,b,This is hypotensive range.,CORRECT: Normal BP is less than 120/80 mmHg according to ACC/AHA guidelines.,This is prehypertension.,This indicates hypertension stage 1.,Easy,
Anatomy Fundamentals,Which of the following is the largest artery in the human body?,"A 28-year-old patient is being studied for cardiovascular anatomy.",Femoral artery,Aorta,Carotid artery,Subclavian artery,b,The femoral artery is large but not the largest.,CORRECT: The aorta is the largest artery in the body originating from the left ventricle.,The carotid arteries supply the head and neck but are smaller.,The subclavian arteries supply the upper extremities but are smaller.,Easy,
Anatomy Fundamentals,What is the normal heart rate in a resting adult?,"A 45-year-old man is admitted to the hospital. His heart rate is being assessed.",40-60 beats per minute,60-100 beats per minute,100-120 beats per minute,120-140 beats per minute,b,This is too slow for a normal resting adult (indicates bradycardia).,CORRECT: Normal resting heart rate in adults is 60-100 beats per minute.,This is tachycardia.,This indicates severe tachycardia.,Easy,
Anatomy Fundamentals,Which bone is the longest bone in the human body?,"A 25-year-old athlete is being examined for an injury. X-rays of his legs are ordered.",Humerus,Tibia,Femur,Fibula,c,The humerus is the upper arm bone but not the longest.,The tibia is part of the lower leg but not the longest bone.,CORRECT: The femur (thighbone) is the longest bone in the human body.,The fibula is the smaller bone in the lower leg.,Easy,
Physiology Basics,What is the primary function of hemoglobin?,"A patient with anemia is being evaluated. Their hemoglobin levels are checked.","Digest food in the stomach","Transport oxygen in red blood cells","Produce antibodies","Regulate body temperature",b,This is the function of stomach acid.,CORRECT: Hemoglobin is an iron-containing protein that binds and transports oxygen throughout the body.,This is the function of the immune system.,This is regulated by the hypothalamus.,Easy,
Physiology Basics,Which organ is responsible for filtering waste from the blood?,"A 60-year-old patient with diabetes has elevated creatinine levels. Kidney function is being assessed.",Liver,Pancreas,Kidneys,Heart,c,The liver produces bile and metabolizes substances.,The pancreas produces insulin and digestive enzymes.,CORRECT: The kidneys filter waste and excess water from the blood to form urine.,The heart pumps blood throughout the body.,Easy,
Physiology Basics,"What is the normal range of blood glucose levels in fasting state in adults?","A 50-year-old man comes for routine lab work. His fasting blood glucose is measured.",50-80 mg/dL,80-100 mg/dL,100-125 mg/dL,Greater than 125 mg/dL,b,This is too low and indicates hypoglycemia.,CORRECT: Normal fasting blood glucose is 80-100 mg/dL (or less than 100 mg/dL).,This range indicates impaired fasting glucose.,This indicates diabetes mellitus.,Easy,
Physiology Basics,Which of the following is the hormone responsible for regulating blood glucose levels?,"A diabetic patient is being counseled about insulin management.",Adrenaline,Insulin,Cortisol,Thyroxine,b,Adrenaline increases blood glucose but doesn't maintain baseline levels.,CORRECT: Insulin is the primary hormone that regulates blood glucose by facilitating glucose uptake into cells.,Cortisol causes glucose elevation but is not the primary regulator.,Thyroxine regulates metabolism but not glucose directly.,Easy,
Pathology Basics,What is the definition of inflammation?,"A patient with a swollen joint is examined. The signs of inflammation are noted.",Permanent tissue death,The body's response to injury or infection characterized by heat redness swelling and pain,Uncontrolled cell growth,Thinning of bones,b,This describes necrosis.,CORRECT: Inflammation is the body's response to injury or infection involving heat (calor) redness (rubor) swelling (tumor) and pain (dolor).,This describes malignancy.,This describes osteoporosis.,Medium,
Pathology Basics,Which of the following best describes atherosclerosis?,"A 65-year-old man with a history of smoking and hypertension undergoes angiography.","Build-up of plaque in arteries leading to narrowing and increased risk of heart attack or stroke","Inflammation of the myocardium","Irregular heartbeat","Leakage of fluid from blood vessels",a,CORRECT: Atherosclerosis is characterized by accumulation of lipids and fibrous tissue in arterial walls causing stenosis.,This describes myocarditis.,This describes arrhythmia.,This describes edema.,Medium,
