block_name,question,case_study,option_a,option_b,option_c,option_d,correct_answer,explanation_a,explanation_b,explanation_c,explanation_d,difficulty,image_url
Anatomy & Histrology,What is the primary function of the cerebrum?,A 35-year-old patient suffered stroke in frontal lobe,Coordinates involuntary movements,Controls conscious thought and motor control,Maintains balance and coordination,Regulates vital functions,b,Controls involuntary movement not conscious,CORRECT - Cerebrum controls higher cognitive functions,Cerebellum maintains balance,Medulla regulates vital functions,easy,cerebrum_diagram
Anatomy & Histrology,Which bone is the longest in the human body?,A 28-year-old athlete presents with a fracture,Humerus,Tibia,Femur,Fibula,c,Humerus is arm bone shorter,Tibia is lower leg bone shorter,CORRECT - Femur is longest bone in body,Fibula is smaller than tibia,easy,femur_anatomy
Anatomy & Histrology,How many chambers does the heart have?,A 55-year-old with atrial fibrillation,Two,Three,Four,Five,c,Primitive hearts have two chambers,Some animals have three chambers,CORRECT - Human heart has four chambers,Impossible structure,easy,heart_chambers
Anatomy & Histrology,What is the functional unit of the kidney?,A 60-year-old with chronic kidney disease,Collecting duct,Nephron,Loop of Henle,Glomerulus alone,b,Collecting duct is part of larger unit,CORRECT - Nephron is the functional unit,Loop of Henle is part of nephron,Glomerulus is part of nephron,medium,nephron_structure
Anatomy & Histrology,Which vertebra is the first cervical vertebra?,A 45-year-old with neck injury,Axis,Atlas,Seventh cervical,Fifth cervical,b,Axis is the second cervical vertebra,CORRECT - Atlas is the first cervical vertebra C1,Seventh is the lowest cervical,Fifth is in the middle,easy,atlas_vertebra
Physiology,What is the normal resting heart rate in adults?,A healthy 30-year-old at rest,40-60 bpm,60-100 bpm,100-120 bpm,120-140 bpm,b,Abnormally slow bradycardia,CORRECT - Normal resting heart rate range,Tachycardia range,Severe tachycardia range,easy,heart_rate
Physiology,Which hormone is responsible for regulating blood calcium levels?,A 60-year-old with hypercalcemia,Thyroxine,Parathyroid hormone,Cortisol,Insulin,b,Thyroxine affects metabolism,CORRECT - PTH increases blood calcium,Cortisol affects glucose,Insulin affects glucose,medium,pth_calcium
Physiology,What is the role of surfactant in the lungs?,A premature infant with respiratory distress,Protect lungs from infection,Reduce surface tension and prevent alveolar collapse,Transport oxygen,Produce mucus,b,That is immune function,CORRECT - Surfactant maintains alveolar inflation,Hemoglobin transports oxygen,Goblet cells produce mucus,easy,surfactant_lungs
Physiology,What triggers the release of insulin from pancreatic beta cells?,A 50-year-old diabetic patient,Low blood glucose,High blood glucose,Low blood pressure,High potassium levels,b,This triggers glucagon release,CORRECT - Elevated glucose stimulates insulin,Blood pressure does not trigger insulin,Potassium triggers potassium regulation,easy,insulin_release
Physiology,How does the autonomic nervous system regulate heart rate?,A patient experiencing acute stress,Only through parasympathetic stimulation,Sympathetic increases rate parasympathetic decreases,Only through sympathetic stimulation,Through skeletal motor nerves,b,Incomplete mechanism,CORRECT - Both branches have opposing effects,Incomplete mechanism,Wrong system,medium,autonomic_heart
