block_id,question,case_study,option_a,option_b,option_c,option_d,correct_answer,explanation_a,explanation_b,explanation_c,explanation_d,explanation_summary,difficulty,subject,citation,notes
550e8400-e29b-41d4-a716-446655440000,"What is the normal adult resting heart rate?","A 25-year-old healthy male at rest","40-60 bpm","60-100 bpm","100-120 bpm","120-140 bpm","b","Bradycardia - abnormally slow","CORRECT: Normal resting heart rate in adults is 60-100 bpm in sinus rhythm","Tachycardia - abnormally fast","Marked tachycardia - severe elevation","Normal resting heart rate in healthy adults ranges from 60-100 beats per minute","Easy","Physiology","Guyton & Hall Textbook of Medical Physiology","Basic cardiovascular physiology concept"
550e8400-e29b-41d4-a716-446655440000,"A 45-year-old with chronic hypertension presents with chest pain. ECG shows LVH. What is the primary cardiac change?","Patient with 15 years of uncontrolled hypertension, BP 160/100","Decreased left ventricular size","Increased left ventricular wall thickness and mass","Atrial enlargement","Right ventricular hypertrophy","b","HTN causes concentric LVH not atrophy","CORRECT: Chronic hypertension increases afterload causing compensatory left ventricular hypertrophy (LVH)","Secondary finding in response to HTN","RVH occurs in pulmonary HTN not systemic HTN","Long-standing hypertension leads to left ventricular hypertrophy as the heart compensates for increased afterload","Medium","Pathology","Harrison's Principles of Internal Medicine","Cardiac adaptation to hypertension"
550e8400-e29b-41d4-a716-446655440000,"Which antihypertensive medication acts by blocking ACE enzyme?","A diabetic patient with hypertension requires renal protection","Atenolol (beta-blocker)","Lisinopril (ACE inhibitor)","Nifedipine (calcium channel blocker)","Hydrochlorothiazide (diuretic)","b","Beta-blockers inhibit sympathetic activity","CORRECT: ACE inhibitors like Lisinopril block angiotensin-converting enzyme preventing Ang II formation and providing renal protection","Calcium channel blockers work through different mechanism","Diuretics reduce blood volume","ACE inhibitors are particularly beneficial in diabetic patients as they reduce proteinuria and slow diabetic nephropathy progression","Easy","Pharmacology","Goodman & Gilman's Pharmacological Basis of Therapeutics","Antihypertensive drug mechanisms"
550e8400-e29b-41d4-a716-446655440001,"A 32-year-old woman presents with fatigue and dyspnea. Lab shows Hb 7.8 g/dL. Which iron metabolism finding is expected in iron deficiency anemia?","Female with heavy menstrual bleeding for past 6 months","Increased serum ferritin","Decreased serum iron and increased TIBC","Increased hemoglobin A1c","Normal iron studies","b","Ferritin is elevated in iron overload","CORRECT: Iron deficiency causes LOW serum iron and HIGH TIBC (total iron binding capacity) as the body upregulates transferrin production","Unrelated to carbohydrate metabolism","Iron studies are always abnormal in anemia","In iron deficiency anemia: low serum iron, high TIBC, low serum ferritin indicating depleted iron stores","Medium","Hematology","Wintrobe's Clinical Hematology","Iron metabolism in anemia"
550e8400-e29b-41d4-a716-446655440001,"What is the primary function of mitochondria?","A hepatocyte requires energy for active transport and biosynthesis","Protein synthesis and ribosome production","ATP production via oxidative phosphorylation","DNA replication and transcription","Hormone secretion and packaging","b","Ribosomes synthesize proteins","CORRECT: Mitochondria generate ATP through the electron transport chain and oxidative phosphorylation - the cell's energy powerhouse","Nucleus handles DNA processes","Rough ER and Golgi apparatus handle protein secretion","Mitochondria are responsible for producing approximately 95% of cellular ATP through aerobic metabolism","Easy","Biochemistry","Lehninger Principles of Biochemistry","Cellular energy metabolism"
550e8400-e29b-41d4-a716-446655440001,"A newborn presents with developmental delay, light-colored hair, and a musty body odor. Plasma amino acid analysis shows elevated phenylalanine. What enzyme is deficient?","Screening test at 5 days of age revealed elevated phenylalanine","Tyrosine hydroxylase","Phenylalanine hydroxylase","Tryptophan hydroxylase","Homogentisate oxidase","b","Produces dopamine and noradrenaline","CORRECT: Phenylalanine hydroxylase converts phenylalanine to tyrosine. Deficiency causes phenylketonuria (PKU) with accumulation of phenylalanine and phenylacetate (musty odor)","Produces serotonin","Causes alkaptonuria not PKU","Phenylketonuria (PKU) is an inborn error of amino acid metabolism causing intellectual disability if untreated. Early newborn screening and dietary restriction of phenylalanine prevents complications","Hard","Biochemistry","Biochemistry of Genetic Disorders","Inborn errors of metabolism - PKU"
550e8400-e29b-41d4-a716-446655440002,"A 22-year-old with fever (39.2°C), severe headache, neck stiffness, and petechial rash presents to ER. CSF analysis: WBC 450 (90% neutrophils), protein 180 mg/dL, glucose 25 mg/dL. Most likely organism?","Acute onset meningitis with characteristic petechial rash over trunk and limbs","Viral meningitis (enterovirus)","Bacterial meningitis (Neisseria meningitidis)","Fungal meningitis (Cryptococcus)","Tuberculous meningitis","b","Viral: normal glucose, lower protein elevation","CORRECT: Classic bacterial meningitis (especially meningococcal) presents with low CSF glucose, high protein, neutrophilic pleocytosis, and petechial rash indicating meningococcemia","Fungal and TB also show low glucose","TB: subacute course, lymphocytic pleocytosis, even lower glucose","Neisseria meningitidis causes acute bacterial meningitis with high mortality if not treated promptly. Petechial rash is pathognomonic for meningococcemia","Hard","Microbiology","Murray's Medical Microbiology","CNS infections and meningitis"
550e8400-e29b-41d4-a716-446655440002,"A 35-year-old presents with chronic cough, night sweats, and hemoptysis over 8 weeks. Chest X-ray shows upper lobe infiltrate with cavitation. What is the most likely diagnosis?","Risk factors: homelessness, poor nutrition, previous TB exposure","Pneumonia (acute bacterial)","Tuberculosis (Mycobacterium tuberculosis)","Lung cancer","Aspergilloma","b","Acute presentation and lacks cavitation typically","CORRECT: Tuberculosis presents with subacute/chronic symptoms (weeks-months), upper lobe cavitary disease, night sweats, and hemoptysis indicating cavitary TB","Acute presentation and different radiographic findings","Risk factors present but different radiographic findings","Tuberculosis is spread via respiratory droplets and primarily affects the lungs. Cavitary disease indicates active TB with high infectivity","Medium","Microbiology","Mycobacteriology and Tuberculosis","Respiratory infections"
550e8400-e29b-41d4-a716-446655440003,"In a double-blind randomized controlled trial comparing two antidepressants, a p-value of 0.04 is reported. What does this mean?","Study comparing efficacy of Drug A vs Drug B in 150 depression patients","There is a 4% chance the drug being tested is effective","There is a 4% probability of observing these results (or more extreme) if the null hypothesis is true","Drug A is 96% effective compared to Drug B","The results are definitely clinically significant","b","Misinterpretation of p-value and effect size","CORRECT: p-value of 0.04 means only 4% probability that observed differences occurred by random chance if there truly is no difference (null hypothesis true)","Confuses p-value with therapeutic efficacy","p-value indicates statistical not clinical significance","P-value is the probability of the data given the null hypothesis is true. Statistical significance (p<0.05) does not automatically mean clinical significance","Medium","Biostatistics","Statistical Methods in Medical Research","Hypothesis testing and p-values"
550e8400-e29b-41d4-a716-446655440004,"A 38-year-old on sertraline 150 mg daily for 3 years suddenly stops the medication due to cost concerns. Within 24-48 hours, develops dizziness, flu-like symptoms, and paresthesias. What is this syndrome called?","Patient abruptly discontinues SSRI after long-term use without medical advice","Anticholinergic crisis","Serotonin discontinuation syndrome","Cholinergic crisis","Neuroleptic malignant syndrome","b","Anticholinergic toxicity from different drug class","CORRECT: SSRI discontinuation syndrome occurs with abrupt cessation causing dizziness, flu-like symptoms, paresthesias, mood changes due to sudden loss of serotonergic effect","Related to cholinergic excess not serotonin withdrawal","Occurs with antipsychotics not SSRIs","SSRI discontinuation syndrome is uncomfortable but not life-threatening. Gradual tapering over 2-4 weeks prevents symptoms. SSRIs should never be stopped abruptly","Medium","Behavioral Science","Psychiatry: DSM-5 and Clinical Practice","Psychopharmacology and medication management"
